Id,Location,Price,Manufacturer,Model,Year,Category,Mileage,Fuel type,Engine Volume,Cylinders,Gear box type,Drive wheels,Doors,Airbags,Wheel,Color,Interior color,Interior material,Exchange,Technical inspection,Catalyst,Steering Hydraulics,On-Board Computer,Air Conditioning,Parking Control,Rear View Camera,Electric Side Mirros,Climate Control,Cruise Control,Start-Stop System,Sunroof,Heated Seats,Memory Seats,ABS,ESP,Central Locking,Alarm System,Fog Lamp,Central Screen (Navigation),AUX,Bluetooth,Multifunction Steering Wheel,Rims,Spare Tyre,Didabled Accessible,Undamaged,Clean History,Newly Imported,Low Consumption,Limited edition,Unpainted,One owner,Urgently,European,Perfect condition,For family,Pawnshop,Third row
94651058,Tbilisi,20893,BMW,328,2008,Cabriolet,146500,Petrol,3.0 ,6,Tiptronic,Rear,2/3,4,Left,Silver,Brown,Leather,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
93499770,Tbilisi,22199,Honda,Freed,2017,Minivan,65000,Hybrid,1.5 ,4,Automatic,Front,4/5,8,Right,White,Black,Combined,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
95514182,Tbilisi,30034,Toyota,Camry,2014,Sedan,216000,Petrol,2.5 ,4,Automatic,Front,4/5,9,Left,Black,Black,Leather,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
92668630,Caucasus Auto Market,60069,Toyota,RAV 4,2021,Jeep,22000,Petrol,2.5 ,4,Tiptronic,4x4,4/5,12,Left,Silver,Black,Fabric,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95256874,Tbilisi,56151,Toyota,RAV 4,2019,Jeep,66000,Hybrid,2.5 ,4,Variator,Front,4/5,8,Right,Grey,Black,Fabric,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
95364114,Tbilisi,32646,Honda,HR-V,2016,Jeep,98500,Hybrid,1.5 ,4,Automatic,Rear,4/5,6,Left,White,Black,Combined,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
82580467,Rustavi,59285,Toyota,RAV 4,2021,Jeep,12000,Petrol,2.5 ,4,Tiptronic,4x4,4/5,12,Left,White,Black,Fabric,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
94780962,Tbilisi,44921,Toyota,RAV 4,2017,Jeep,80000,Petrol,2.5 ,4,Tiptronic,Front,4/5,10,Left,Black,Black,Fabric,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
94436974,Rustavi,42309,Mazda,CX-5,2019,Jeep,59000,Petrol,2.5 ,4,Tiptronic,4x4,4/5,12,Left,Blue,Black,Combined,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
83932907,Tbilisi,150,Toyota,RAV 4,2017,Jeep,60000,Petrol,2.5 ,4,Variator,4x4,4/5,9,Left,White,Black,Fabric,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95432994,Tbilisi,26117,Chevrolet,Malibu,2017,Sedan,72885,Petrol,1.5 ,4,Tiptronic,Front,>5,12,Left,Black,White,Fabric,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
94503242,Tbilisi,117524,Lexus,NX 200,2023,Jeep,0,Petrol,2.0 ,4,Variator,4x4,4/5,12,Left,Black,Red,Alcantara,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
